#,NO,NC,RI,DC,DP,TH,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
NO,5,5,0,2,7,5,0,0,1,3,0,7,0
NC,5,4,1,1,5,4,0,0,1,3,2,7,0
RI,0,1,0,0,1,0,0,0,0,1,0,1,0
DC,2,1,0,0,2,2,0,0,0,1,0,2,0
DP,7,5,1,2,6,6,0,0,0,5,2,8,0
TH,5,4,0,2,6,0,0,0,0,2,2,8,0
Females motivation,0,0,0,0,0,0,0,0,0,0,0,0,0
Females lower computer self-efficacy,0,0,0,0,0,0,0,0,0,0,0,0,3
Females risk-averse than males,1,1,0,0,0,0,0,0,0,1,0,0,1
Females process information comprehensively,3,3,1,1,5,2,0,0,1,0,1,0,3
Females learn in process-oriented learning styles,0,2,0,0,2,2,0,0,0,1,0,0,1
NO FACET,0,0,0,0,0,0,0,0,0,0,0,0,0
NO BARRIER,0,0,0,0,0,0,0,0,0,0,0,0,0
