#,NO,NC,RI,DC,DP,TH,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
NO,0,2,1,1,5,1,0,0,0,0,1,9,0
NC,2,2,0,0,0,2,0,0,0,0,1,10,0
RI,1,0,0,1,0,1,0,0,0,0,0,3,0
DC,1,0,1,0,0,0,0,0,0,0,0,4,0
DP,5,0,0,0,2,2,0,0,0,1,0,8,0
TH,1,2,1,0,2,0,0,0,0,0,0,11,0
Females motivation,0,0,0,0,0,0,0,0,0,0,0,0,0
Females lower computer self-efficacy,0,0,0,0,0,0,0,0,0,0,0,0,1
Females risk-averse than males,0,0,0,0,0,0,0,0,0,0,0,0,0
Females process information comprehensively,0,0,0,0,1,0,0,0,0,0,0,0,2
Females learn in process-oriented learning styles,1,1,0,0,0,0,0,0,0,0,0,0,1
NO FACET,0,0,0,0,0,0,0,0,0,0,0,0,0
NO BARRIER,0,0,0,0,0,0,0,0,0,0,0,0,0
