#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,0,0,6,3,0,1,3,2,3,1,0,0,0,0,0,1,0,2,0,10,1,0,0,0,0,4,1,11,1,8,0
Finding a mentor,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Poor ""How to contribute""",6,1,0,4,0,1,2,3,2,2,0,0,0,0,3,1,0,6,0,11,1,4,0,0,0,4,0,9,2,5,0
Newcomers don’t know what is the contribution flow,3,1,4,0,0,0,0,3,0,1,0,0,0,0,2,0,0,4,0,4,0,1,0,0,0,2,1,6,0,4,0
Lack of Patience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shyness,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
Lack of domain expertise,3,0,2,0,0,0,0,5,10,0,0,0,1,0,1,0,1,1,0,3,1,0,0,0,0,4,0,7,1,7,0
Lack of knowledge in project processes and practice,2,0,3,3,0,0,5,0,4,0,0,0,1,0,1,0,0,4,0,4,0,1,0,0,0,2,0,4,2,5,0
Knowledge on technologies and tools used,3,0,2,0,0,0,10,4,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,4,1,7,1,10,0
Knowledge of versioning control systems,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,3,1,0
Receiving answers with too advanced/complex contents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impolite answers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not receiving an answer,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Delayed Answer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Some newcomers need to contact a real person,0,1,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,2,1,3,0
Documentation Outdated,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,2,2,0
Documentation Overload,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,1,5,0
Documentation Unclear,2,0,6,4,0,1,1,4,1,1,0,0,1,0,1,0,3,0,0,7,2,3,0,0,0,2,0,8,3,5,0
Documentation Spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Documentation General,10,0,11,4,0,1,3,4,2,1,0,0,0,0,1,2,1,7,0,0,6,2,0,0,0,7,0,22,4,6,0
Building workspace locally,1,0,1,0,0,0,1,0,2,1,0,0,0,0,1,2,0,2,0,6,0,0,0,0,0,4,0,4,5,13,0
Lack of information on how to send a contribution,0,0,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,2,1,2,0
Getting contribution accepted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Issue to create a patch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Females motivation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Females lower computer self-efficacy,4,0,4,2,1,2,4,2,4,0,0,0,0,0,1,0,0,2,0,7,4,1,0,0,0,0,0,5,4,0,13
Females risk-averse than males,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Females process information comprehensively,11,1,9,6,0,0,7,4,7,1,0,0,1,0,2,2,3,8,1,22,4,2,0,0,0,5,2,0,4,0,9
Females learn in process-oriented learning styles,1,0,2,0,0,0,1,2,1,3,0,0,0,0,1,2,1,3,0,4,5,1,0,0,0,4,0,4,0,0,9
NO FACET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO BARRIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
