#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,"4, 4, 4, 8, 9, 9","2, 4, 5",,4,"4, 8, 9","4, 8","4, 8, 9",6,,,,,,8,,"4, 4",,"1, 4, 4, 4, 8, 8, 8, 9, 9, 9",8,,,,8,,,"8, 8, 8",,"1, 1, 2, 4, 4, 4, 5, 5, 5, 6, 8, 8, 8, 8, 8, 9, 9, 9",
Finding a mentor,,,9,9,,,,,,,,,,,9,,,,,,,,,,,,,,,9,
"Poor ""How to contribute""","4, 4, 4, 8, 9, 9",9,,"4, 4, 4, 9",,4,"4, 9","2, 4, 4","4, 9","2, 4",,,,,"2, 2, 9",5,,"2, 4, 4, 4, 5, 9",,"4, 4, 4, 4, 4, 8, 9, 9, 9, 9, 9",8,"1, 2, 4, 9",,,,,,"1, 4",5,"2, 2, 4, 4, 4, 4, 5, 8, 9, 9, 9, 9, 9, 9",
Newcomers don’t know what is the contribution flow,"2, 4, 5",9,"4, 4, 4, 9",,,,,"4, 4, 4",,4,,,,,"2, 9",,,"4, 4, 5, 6",,"4, 4, 4, 4",,4,,,,1,6,"1, 2, 4, 6",,"2, 4, 4, 4, 5, 5, 6, 9",
Lack of Patience,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Shyness,4,,4,,,,,,,,,,,,,,,4,,4,,,,,,,,,,"4, 4",
Lack of domain expertise,"4, 8, 9",,"4, 9",,,,,"4, 4, 8, 8, 9","4, 4, 4, 5, 5, 5, 8, 8, 9, 9",,,,8,,2,,5,8,,"4, 5, 9",5,,,,5,,5,"5, 5, 8",,"1, 2, 4, 4, 4, 4, 4, 5, 5, 8, 9, 9",
Lack of knowledge in project processes and practice,"4, 8",,"2, 4, 4","4, 4, 4",,,"4, 4, 8, 8, 9",,"5, 8, 8, 9",,,,8,,2,,,"2, 4, 4, 8",,"4, 4, 4, 4",,2,,,,,,"5, 8",,"2, 4, 4, 4, 4, 4, 4, 8, 9",
Knowledge on technologies and tools used,"4, 8, 9",,"4, 9",,,,"4, 4, 4, 5, 5, 5, 8, 8, 9, 9","5, 8, 8, 9",,5,,,8,,,,,8,,"4, 9","2, 5",,,,5,,"5, 5","5, 5, 5, 8, 8",,"2, 4, 4, 4, 4, 4, 5, 5, 5, 8, 8, 9, 9",
Knowledge of versioning control systems,6,,"2, 4",4,,,,,5,,,,,,2,,,9,,4,9,4,,,,,,4,,"2, 5, 6, 9",
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,,,,,,8,8,8,,,,,,,,,8,,,,,,,,,,,,8,
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Some newcomers need to contact a real person,,9,"2, 2, 9","2, 9",,,2,2,,2,,,,,,,,2,,1,1,2,,,,,,2,,"1, 2, 2, 2, 9",
